case_number,origin_id,origin_lat,origin_lon,destination_id,label,category,destination_lat,destination_lon,travel_time_minutes,model_time_band,planner_url,planner_minutes,planner_no_route,planner_itinerary_notes,reviewer,reviewed_at,service_date,departure,absolute_difference_minutes
0,13089021505,33.8093253,-84.3268623,osm-way-933073925,Children's Healthcare of Atlanta Arthur M. Blank Hospital,hospital,33.8317764,-84.3304304,39.85,00_30_minutes,https://itsmarta.com/ride/planner?from=33.8093253%2C-84.3268623%3A%3A33.8093253%2C-84.3268623&to=33.8317764%2C-84.3304304%3A%3A33.8317764%2C-84.3304304&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,43,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,3.1499999999999986
1,13121000601,33.7833623,-84.4072524,osm-node-12619410960,Atlanta Mission - Fuqua Hall,shelter,33.7651508,-84.3922719,27.666666666666668,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7833623%2C-84.4072524%3A%3A33.7833623%2C-84.4072524&to=33.7651508%2C-84.3922719%3A%3A33.7651508%2C-84.3922719&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,32,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,4.333333333333332
2,13121001702,33.7657765,-84.364279,osm-way-270358285,Atlanta Mission - The Sheperd's Inn,shelter,33.7649813,-84.3926493,24.25,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7657765%2C-84.364279%3A%3A33.7657765%2C-84.364279&to=33.7649813%2C-84.3926493%3A%3A33.7649813%2C-84.3926493&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,12,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,12.25
3,13121009405,33.8210234,-84.3680894,osm-way-388806051,DriveThru Urgent Care,clinic,33.7989942,-84.4158255,32.5,00_30_minutes,https://itsmarta.com/ride/planner?from=33.8210234%2C-84.3680894%3A%3A33.8210234%2C-84.3680894&to=33.7989942%2C-84.4158255%3A%3A33.7989942%2C-84.4158255&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,37,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,4.5
4,13089021415,33.8397088,-84.3448974,osm-way-51302619,Emory Clinic Building A,clinic,33.7924639,-84.3203419,52.516666666666666,31_60_minutes,https://itsmarta.com/ride/planner?from=33.8397088%2C-84.3448974%3A%3A33.8397088%2C-84.3448974&to=33.7924639%2C-84.3203419%3A%3A33.7924639%2C-84.3203419&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,39,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,13.516666666666666
5,13089023801,33.7174077,-84.3384079,osm-node-14080656819,Planned Parenthood,clinic,33.7420749,-84.3489256,34.96666666666667,31_60_minutes,https://itsmarta.com/ride/planner?from=33.7174077%2C-84.3384079%3A%3A33.7174077%2C-84.3384079&to=33.7420749%2C-84.3489256%3A%3A33.7420749%2C-84.3489256&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,34,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,0.9666666666666686
6,13121006900,33.7183138,-84.3587699,osm-node-367913296,Atlanta Fire Station 19,fire_station,33.7835926,-84.354292,61.083333333333336,31_60_minutes,https://itsmarta.com/ride/planner?from=33.7183138%2C-84.3587699%3A%3A33.7183138%2C-84.3587699&to=33.7835926%2C-84.354292%3A%3A33.7835926%2C-84.354292&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,60,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,1.0833333333333357
7,13121009504,33.843759,-84.3861271,osm-node-12124841474,Stamps Health Services,hospital,33.7748461,-84.4031125,63.3,31_60_minutes,https://itsmarta.com/ride/planner?from=33.843759%2C-84.3861271%3A%3A33.843759%2C-84.3861271&to=33.7748461%2C-84.4031125%3A%3A33.7748461%2C-84.4031125&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,58,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,5.299999999999997
8,13089022800,33.7630331,-84.289584,osm-node-367913297,Atlanta Fire Rescue Department - Fire Station 29,fire_station,33.8106,-84.3691,80.35,61_90_minutes,https://itsmarta.com/ride/planner?from=33.7630331%2C-84.289584%3A%3A33.7630331%2C-84.289584&to=33.8106%2C-84.3691%3A%3A33.8106%2C-84.3691&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,72,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,8.349999999999994
9,13121001101,33.7854972,-84.3830749,osm-way-1221469441,VA Medical Center,hospital,33.8016254,-84.3113223,55.86666666666667,61_90_minutes,https://itsmarta.com/ride/planner?from=33.7854972%2C-84.3830749%3A%3A33.7854972%2C-84.3830749&to=33.8016254%2C-84.3113223%3A%3A33.8016254%2C-84.3113223&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,61,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-07T18:33:30+00:00,20260914,08:00,5.133333333333333
